&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&promotion.the_continuing_submission_will_result_in_the_non_entry_into_force_of_the_previously_mutually_exclus&##&,&##&the continuing submission will result in the non entry into force of the previously mutually exclus&##&
&##&promotion.july&##&,&##&july&##&
&##&promotion.the_voucher_has_a_larger_face_value&##&,&##&the voucher has a larger face value&##&
&##&promotion.cut_off_price&##&,&##&cut off price&##&
&##&promotion.commodity_category&##&,&##&commodity category&##&
&##&promotion.the_price&##&,&##&the price&##&
&##&promotion.the_preferential_terms_can_not_be_empty&##&,&##&the preferential terms can not be empty&##&
&##&promotion.use_of_rules&##&,&##&use of rules&##&
&##&promotion.part&##&,&##&part&##&
&##&promotion.new_and_old_users&##&,&##&new and old users&##&
&##&拼团活动审核拒绝异常!&##&,&##&The group activity review rejected the exception!&##&
&##&promotion.regiment_length&##&,&##&regiment length&##&
&##&发券类型&##&,&##&Type of bond&##&
&##&中奖&##&,&##&Winning the prize&##&
&##&promotion.user&##&,&##&user&##&
&##&券号&##&,&##&Ticket number&##&
&##&promotion.collage_single_number&##&,&##&collage single number&##&
&##&promotion.node_time&##&,&##&node time&##&
&##&promotion.single_user_s_limit_must_be_a_positive_integer&##&,&##&single user s limit must be a positive integer&##&
&##&promotion.pre_sale_activity_is_successful&##&,&##&pre sale activity is successful&##&
&##&promotion.please_select_a_piece_of_data&##&,&##&please select a piece of data&##&
&##&promotion.active_object&##&,&##&active object&##&
&##&promotion.remarks&##&,&##&remarks&##&
&##&promotion.direct_drop_input_is_mistaken&##&,&##&direct drop input is mistaken&##&
&##&promotion.only_pie_chart_is_valid&##&,&##&only pie chart is valid&##&
&##&promotion.please_fill_in_the_quantity&##&,&##&please fill in the quantity&##&
&##&拼团活动只支持新用户&##&,&##&Group activities only support new users.&##&
&##&promotion.the_number_of_vouchers_should_not_be_larger_than_the_number_of_available_vouchers&##&,&##&the number of vouchers should not be larger than the number of available vouchers&##&
&##&promotion.every_single_purchase_number&##&,&##&every single purchase number&##&
&##&promotion.choice_of_goods&##&,&##&choice of goods&##&
&##&promotion.generating_exchange_code&##&,&##&generating exchange code&##&
&##&promotion.create_full_volume_promotions&##&,&##&create full volume promotions&##&
&##&promotion.the_special_price_should_not_be_lower_than_the_activity_settlement_price&##&,&##&the special price should not be lower than the activity settlement price&##&
&##&报名活动ID&##&,&##&Registration activity id&##&
&##&promotion.upper_limit_of_total_discount&##&,&##&upper limit of total discount&##&
&##&promotion.extension_activity_name&##&,&##&extension activity name&##&
&##&promotion.luck_draw&##&,&##&luck draw&##&
&##&promotion.franchisee&##&,&##&franchisee&##&
&##&promotion.do_you_want_to_be_forced_into_a_regiment&##&,&##&do you want to be forced into a regiment&##&
&##&报名ID异常&##&,&##&Registration ID abnormal&##&
&##&promotion.click_upload&##&,&##&click upload&##&
&##&promotion.do_you_confirm_that_the_activity_is_deleted&##&,&##&do you confirm that the activity is deleted&##&
&##&更新COUPON失败&##&,&##&Update COUPON failed&##&
&##&promotion.make_a_fortune&##&,&##&make a fortune&##&
&##&promotion.custom_start_time_cannot_be_empty&##&,&##&custom start time cannot be empty&##&
&##&口令错误&##&,&##&password error&##&
&##&promotion.entertainment&##&,&##&entertainment&##&
&##&promotion.designated_user_distribution&##&,&##&Designated user distribution&##&
&##&promotion.submission_of_audit&##&,&##&submission of audit&##&
&##&promotion.order_status&##&,&##&order status&##&
&##&promotion.the_success_of_the_batch_deletions&##&,&##&the success of the batch deletions&##&
&##&还差%s元&##&,&##&It's still %s yuan&##&
&##&操作时间&##&,&##&Operating time&##&
&##&promotion.you_can_type_the_skills_you_have.&##&,&##&you can type the skills you have.&##&
&##&根据ID查询促销活动异常&##&,&##&Query promotion exceptions based on ID&##&
&##&对不起,服务正忙&##&,&##&Sorry, the service is busy.&##&
&##&promotion.brand_code&##&,&##&brand code&##&
&##&order_share_default_title_tip&##&,&##&enter {X} to add a random number in the customized content; for example, enter "{X} personal red envelope", then the system will read the system's random number display when sharing at the front desk: "The second person gets a big red envelope" or "the first 5 people get a big red envelope&##&
&##&promotion.create_an_editor&##&,&##&create an editor&##&
&##&查询促销详情出错&##&,&##&Error in sales promotion enquiry&##&
&##&promotion.for_the_highest&##&,&##&for the highest&##&
&##&promotion.according_to_the_week&##&,&##&according to the week&##&
&##&promotion.retail_sales_reduction_input_is_mistaken&##&,&##&retail sales reduction input is mistaken&##&
&##&促销活动没有限制.&##&,&##&promotion activity is not restricted&##&
&##&定金￥%s可抵扣￥%s&##&,&##&¥%s deposit deducts ¥%s&##&
&##&promotion.post_month_failure&##&,&##&post month failure&##&
&##&promotion.flash_sales_promotion&##&,&##&flash sales promotion&##&
&##&您已经超过个人参团限制次数&##&,&##&You have exceeded the limit of personal attendance.&##&
&##&promotion.add_the_table_title_column&##&,&##&add the table title column&##&
&##&promotion.site_number&##&,&##&site number&##&
&##&promotion.cancelling_tables_can_be_sorted&##&,&##&cancelling tables can be sorted&##&
&##&发券数量超过券活动总限制数量&##&,&##&The number of coupons exceeds the total amount of coupon activities.&##&
&##&promotion.please_fill_in_the_time_of_the_last_period_of_time.&##&,&##&please fill in the time of the last period of time.&##&
&##&promotion.member_type&##&,&##&member type&##&
&##&promotion.integral_quantity&##&,&##&integral quantity&##&
&##&选品提前终止异常&##&,&##&Option to terminate abnormality early&##&
&##&promotion.single_order_number&##&,&##&single order number&##&
&##&promotion.full_amount_gift&##&,&##&full amount gift&##&
&##&报名记录id不能为空&##&,&##&Registration record id cannot be empty&##&
&##&promotion.invalid&##&,&##&invalid&##&
&##&promotion.also&##&,&##&also&##&
&##&导入的促销参数文件未设置促销参数&##&,&##&Promotion parameters are not set in the imported promotion parameter file&##&
&##&promotion.kind&##&,&##&kind&##&
&##&promotion.the_purchase_price_must_be_a_maximum_of_two_decimal_positive_numbers&##&,&##&the purchase price must be a maximum of two decimal positive numbers&##&
&##&promotion.terrified&##&,&##&terrified&##&
&##&promotion.batch_withdrawal_of_goods&##&,&##&batch withdrawal of goods&##&
&##&promotion.sales_ranking&##&,&##&sales ranking&##&
&##&审核不通过备注不能为空&##&,&##&Review cannot be empty without comment&##&
&##&promotion.all_the_crazy_virtuous,_eleven_global_carnival&##&,&##&all the crazy virtuous, eleven global carnival&##&
&##&promotion.from_right_to_left&##&,&##&from right to left&##&
&##&来晚啦，活动已结束&##&,&##&Late, the activity is over.&##&
&##&promotion.agent_recruitment&##&,&##&agent recruitment&##&
&##&券活动列表导出,转码异常&##&,&##&The voucher activity list is exported, and the transcoding is abnormal.&##&
&##&积分商城活动列表&##&,&##&Points Mall Event List&##&
&##&promotion.reserved_source_format&##&,&##&reserved source format&##&
&##&promotion.the_status_of_the_file_includes_the_following_types&##&,&##&the status of the file includes the following types&##&
&##&promotion.small&##&,&##&small&##&
&##&promotion.deleting_hyperlinks&##&,&##&deleting hyperlinks&##&
&##&promotion.the_lowest_input_value_of_the_selected_commodity_is_too_large&##&,&##&the lowest input value of the selected commodity is too large&##&
&##&promotion.method_can_get_the_plain_text_content_of_the_editor_with_the_format&##&,&##&method can get the plain text content of the editor with the format&##&
&##&商品&##&,&##&commodity&##&
&##&promotion.effective_discounts_must_be_filled_in&##&,&##&effective discounts must be filled in&##&
&##&promotion.unrestricted&##&,&##&unrestricted&##&
&##&获取促销限制类型SQL异常&##&,&##&get promoted restricted type SQL exception&##&
&##&promotion.whether_or_not_the_main_product_group&##&,&##&whether or not the main product group&##&
&##&promotion.please_enter_the_correct_length_or_width_value&##&,&##&please enter the correct length or width value&##&
&##&操作太频繁啦，请休息一下再试&##&,&##&too often, please take a break and try again&##&
&##&promotion.dont&##&,&##&dont&##&
&##&推荐码&##&,&##&referral code&##&
&##&promotion.activity_details_en_can_not_be_empty&##&,&##&activity details can not be empty&##&
&##&更改数据异常&##&,&##&Change data exception&##&
&##&抽奖次数不能为空&##&,&##&Lucky draw times can not be empty.&##&
&##&promotion.purchase_order&##&,&##&purchase order&##&
&##&promotion.upper_limit&##&,&##&upper limit&##&
&##&promotion.monthly&##&,&##&monthly&##&
&##&promotion.the_cover_and_other_documents_build_the_base_block&##&,&##&the cover and other documents build the base block&##&
&##&promotion.image_loading_failure&##&,&##&image loading failure&##&
&##&更新团单信息异常.&##&,&##&Update group information is abnormal.&##&
&##&查询支付平台出错&##&,&##&Query payment platform error&##&
&##&promotion.source_object&##&,&##&source object&##&
&##&promotion.activity_inventory_can_not_be_empty&##&,&##&activity inventory can not be empty&##&
&##&绑定账户&##&,&##&Bind account&##&
&##&promotion.association_bar_code&##&,&##&association bar code&##&
&##&优惠券活动ID&##&,&##&Coupon Activity ID&##&
&##&promotion.redeem_code&##&,&##&redeem code&##&
&##&promotion.verification_failure&##&,&##&verification failure&##&
&##&promotion.single_state&##&,&##&single state&##&
&##&请选择需要修改的商品&##&,&##&Please select the item to be modified&##&
&##&promotion.the_special_price_is_not_greater_than_the_original_price&##&,&##&the special price is not greater than the original price&##&
&##&promotion.can_be_crazy&##&,&##&can be crazy&##&
&##&promotion.jiangxi&##&,&##&jiangxi&##&
&##&收货人姓名&##&,&##&Consignee name&##&
&##&promotion.sampling_node&##&,&##&sampling node&##&
&##&活动结算价&##&,&##&Activity settlement price&##&
&##&返还订单支付金额的&##&,&##&%s %%的积分=Return %s %% integral of the order payment amount&##&
&##&导出卡明细列表成功&##&,&##&Export card detail list succeeded&##&
&##&promotion.automatic_typesetting&##&,&##&automatic typesetting&##&
&##&请检查领奖地址信息&##&,&##&Please check the prize address information&##&
&##&promotion.refunds&##&,&##&refunds&##&
&##&已售罄&##&,&##&Sold out&##&
&##&promotion.eliminate&##&,&##&eliminate&##&
&##&promotion.add_the_background&##&,&##&add the background&##&
&##&promotion.fixed_amount_voucher&##&,&##&fixed amount voucher&##&
&##&promotion.ordered_list&##&,&##&ordered list&##&
&##&注册失败，请稍后重试&##&,&##&Registration failed. Please try again later.&##&
&##&查询砍价活信息异常&##&,&##&Inquiries about abnormal information&##&
&##&promotion.additional_goods&##&,&##&additional goods&##&
&##&promotion.copy_the_selected_content&##&,&##&copy the selected content&##&
&##&promotion.state&##&,&##&state&##&
&##&promotion.activity_indicates_that_the_length_of_the_content_exceeds_the_maximum_limit_of_the_system&##&,&##&activity indicates that the length of the content exceeds the maximum limit of the system&##&
&##&开启活动预热&##&,&##&Turn on event warming up&##&
&##&promotion.provide&##&,&##&provide&##&
&##&promotion.is_it_exclusive_to_him&##&,&##&is it exclusive to him&##&
&##&付%s件&##&,&##&Pay %s pieces&##&
&##&未选择任何门店&##&,&##&No store selected&##&
&##&秒杀&##&,&##&Crazy Deal&##&
&##&promotion.participate_in_goods&##&,&##&participate in goods&##&
&##&promotion.open_source_based_on&##&,&##&open source based on&##&
&##&promotion.selected_goods&##&,&##&selected goods&##&
&##&promotion.duration_of_use&##&,&##&duration of use&##&
&##&promotion.the_name_of_the_price&##&,&##&the name of the price&##&
&##&promotion.use_baidu_search&##&,&##&use baidu search&##&
&##&promotion.new_label&##&,&##&new label&##&
&##&promotion.setting_activity_rules&##&,&##&setting activity rules&##&
&##&promotion.type_of_commodity_group&##&,&##&type of commodity group&##&
&##&拼团价&##&,&##&￥%s=Group order price：¥%s&##&
&##&promotion.select_a_picture&##&,&##&select a picture&##&
&##&promotion.current&##&,&##&current&##&
&##&每买${X}赠${Y}&##&,&##&Free ${Y} pc${YS} for every ${X} pc${XS} of your order&##&
&##&promotion.close&##&,&##&close&##&
&##&promotion.exclusive_goods&##&,&##&exclusive goods&##&
&##&promotion.pieces_can_be_formed_into_a_regiment&##&,&##&pieces can be formed into a regiment&##&
&##&promotion.next&##&,&##&next&##&
&##&promotion.coupon_activities&##&,&##&coupon activities&##&
&##&promotion.bargain&##&,&##&bargain&##&
&##&promotion.what&##&,&##&what&##&
&##&promotion.return_freight&##&,&##&return freight&##&
&##&promotion.upper_limit_of_the_number_of_users_daily_prizes&##&,&##&upper limit of the number of users daily prizes&##&
&##&promotion.start&##&,&##&start&##&
&##&关闭券活动异常&##&,&##&Close coupon activity abnormal&##&
&##&promotion.please_note_that&##&,&##&please note that&##&
&##&您输入的券号有误&##&,&##&The ticket number you entered is incorrect.&##&
&##&promotion.activity_priority_can_not_be_empty&##&,&##&activity priority can not be empty&##&
&##&promotion.after_the_application_is_completed,_please&##&,&##&after the application is completed, please&##&
&##&过期团单取消异常&##&,&##&Expired group cancels exceptions&##&
&##&promotion.middle_alignment&##&,&##&middle alignment&##&
&##&promotion.start_uploading&##&,&##&start uploading&##&
&##&删除成功&##&,&##&successfully deleted&##&
&##&promotion.pull_the_flowers&##&,&##&pull the flowers&##&
